"","RESPONDENT_RACE","PARTNER_RACE","respondent_education","partner_education","PPPARTYID3","Q12"
"582","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"583","(2) NH black","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"584","(4) NH Asian Pac Islander","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(1) republican"
"585","(4) NH Asian Pac Islander","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"586","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"587","(1) NH white","(1) NH white","Advanced degree","Bachelors","(1) republican","(1) republican"
"588","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"589","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"590","(6) Hispanic","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"591","(2) NH black","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"592","(5) NH Other","(5) NH Other","Bachelors","Less than Bachelors","(1) republican","(3) independent"
"593","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"594","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"595","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"596","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"597","(6) Hispanic","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"598","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"599","(5) NH Other","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"600","(4) NH Asian Pac Islander","(4) NH Asian Pac Islander","Advanced degree","Bachelors","(3) democrat","(3) independent"
"601","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"602","(2) NH black","(2) NH black","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"603","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"604","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(1) republican","(1) republican"
"605","(1) NH white","(6) Hispanic","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"606","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"607","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"608","(1) NH white","(1) NH white","Bachelors","Advanced degree","(1) republican","(1) republican"
"609","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(1) republican"
"610","(1) NH white","(1) NH white","Bachelors","Advanced degree","(1) republican","(1) republican"
"611","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"612","(1) NH white","(1) NH white","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"613","(6) Hispanic","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"614","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"615","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(1) republican"
"616","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"617","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(2) other","(5) no preference"
"618","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"619","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"620","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"621","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"622","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"623","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(1) republican","(1) republican"
"624","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"625","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(3) independent"
"626","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"627","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(1) republican"
"628","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"629","(6) Hispanic","(6) Hispanic","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"630","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"631","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"632","(6) Hispanic","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"633","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"634","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"635","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"636","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(4) another party, please specify"
"637","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(1) republican","(1) republican"
"638","(1) NH white","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"639","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"640","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"641","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"642","(2) NH black","(2) NH black","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"643","(6) Hispanic","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"644","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"645","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"646","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"647","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"648","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"649","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"650","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"651","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"652","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"653","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"654","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"655","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"656","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"657","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"658","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"659","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"660","(6) Hispanic","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"661","(1) NH white","(1) NH white","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"662","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"663","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"664","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"665","(6) Hispanic","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"666","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"667","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"668","(6) Hispanic","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"669","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"670","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(2) democrat"
"671","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"672","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"673","(6) Hispanic","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"674","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"675","(6) Hispanic","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"676","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"677","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"678","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"679","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(4) another party, please specify"
"680","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"681","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(3) independent"
"682","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(1) republican"
"683","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"684","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"685","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"686","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"687","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"688","(1) NH white","(1) NH white","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"689","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"690","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"691","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"692","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"693","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"694","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"695","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"696","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(1) republican","(2) democrat"
"697","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"698","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"699","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"700","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(3) independent"
"701","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"702","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"703","(1) NH white","(1) NH white","Advanced degree","Bachelors","(1) republican","(1) republican"
"704","(4) NH Asian Pac Islander","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"705","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"706","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"707","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(3) independent"
"708","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(1) republican"
"709","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"710","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"711","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"712","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"713","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"714","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(3) democrat","(2) democrat"
"715","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"716","(1) NH white","(2) NH black","Advanced degree","Bachelors","(3) democrat","(3) independent"
"717","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"718","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"719","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(1) republican","(3) independent"
"720","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(3) democrat","(3) independent"
"721","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"722","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"723","(6) Hispanic","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"724","(1) NH white","(1) NH white","Advanced degree","Bachelors","(1) republican","(1) republican"
"725","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"726","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"727","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"728","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"729","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(2) democrat"
"730","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(3) independent"
"731","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"732","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"733","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(1) republican","(1) republican"
"734","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"735","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"736","(1) NH white","(1) NH white","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"737","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"738","(6) Hispanic","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"739","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(1) republican"
"740","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"741","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"742","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"743","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"744","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"745","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"746","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"747","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"748","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"749","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(3) independent"
"750","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"751","(1) NH white","(6) Hispanic","Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"752","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"753","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(3) independent"
"754","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(2) democrat"
"755","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"756","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"757","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"758","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"759","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"760","(1) NH white","(6) Hispanic","Advanced degree","Less than Bachelors","(3) democrat","(2) democrat"
"761","(6) Hispanic","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"762","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"763","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"764","(6) Hispanic","(4) NH Asian Pac Islander","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"765","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"766","(1) NH white","(6) Hispanic","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"767","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"768","(6) Hispanic","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(5) no preference"
"769","(2) NH black","(2) NH black","Less than Bachelors","Bachelors","(3) democrat","(3) independent"
"770","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"771","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"772","(4) NH Asian Pac Islander","(4) NH Asian Pac Islander","Bachelors","Bachelors","(1) republican","(3) independent"
"773","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(2) democrat"
"774","(6) Hispanic","(6) Hispanic","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"775","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"776","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"777","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"778","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"779","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"780","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(2) other","(5) no preference"
"781","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"782","(1) NH white","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"783","(4) NH Asian Pac Islander","(1) NH white","Bachelors","Advanced degree","(1) republican","(1) republican"
"784","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"785","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"786","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(2) democrat"
"787","(6) Hispanic","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"788","(2) NH black","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"789","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"790","(1) NH white","(6) Hispanic","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"791","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"792","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(1) republican","(1) republican"
"793","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"794","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"795","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"796","(1) NH white","(6) Hispanic","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"797","(1) NH white","(6) Hispanic","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"798","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"799","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"800","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"801","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(3) independent"
"802","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"803","(1) NH white","(1) NH white","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"804","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"805","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"806","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"807","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"808","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(1) republican","(1) republican"
"809","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"810","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"811","(2) NH black","(2) NH black","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"812","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"813","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"814","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(3) independent"
"815","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(1) republican"
"816","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"817","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"818","(1) NH white","(1) NH white","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"819","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"820","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"821","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"822","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"823","(6) Hispanic","(6) Hispanic","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"824","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"825","(1) NH white","(1) NH white","Bachelors","Advanced degree","(1) republican","(2) democrat"
"826","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(5) no preference"
"827","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"828","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(1) republican"
"829","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"830","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(3) independent"
"831","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"832","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"833","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"834","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"835","(6) Hispanic","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"836","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"837","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"838","(6) Hispanic","(6) Hispanic","Advanced degree","Less than Bachelors","(1) republican","(1) republican"
"839","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"840","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"841","(1) NH white","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"842","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"843","(1) NH white","(1) NH white","Bachelors","Advanced degree","(1) republican","(5) no preference"
"844","(1) NH white","(6) Hispanic","Bachelors","Advanced degree","(3) democrat","(3) independent"
"845","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"846","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"847","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"848","(1) NH white","(4) NH Asian Pac Islander","Bachelors","Bachelors","(1) republican","(3) independent"
"849","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"850","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(3) independent"
"851","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(3) democrat","(3) independent"
"852","(4) NH Asian Pac Islander","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"853","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(1) republican"
"854","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"855","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"856","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"857","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"858","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"859","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"860","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(1) republican"
"861","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"862","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"863","(3) NH Amer Indian","(1) NH white","Less than Bachelors","Advanced degree","(3) democrat","(2) democrat"
"864","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(1) republican","(2) democrat"
"865","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"866","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"867","(6) Hispanic","(6) Hispanic","Bachelors","Bachelors","(3) democrat","(2) democrat"
"868","(1) NH white","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"869","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"870","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"871","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(3) democrat","(2) democrat"
